"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
NA,"Schweinhaut, Henry Albert",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1944-12-19","1956-11-16","1970-06-22",NA,"District",143
NA,"Schwellenbach, Lewis B.",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1940-11-20","1945-06-30",NA,NA,"District",94
NA,"Shaw, Elwyn Riley",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1944-05-09","1950-07-18",NA,NA,"District",136
NA,"Smith, John Joseph",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1941-10-30","1960-09-13",NA,NA,"District",105
NA,"Smith, William Francis",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1941-02-15","1961-09-12",NA,NA,"District",97
NA,"Stephens, Sr., Albert Lee",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1935-08-24","1937-06-21",NA,NA,"District",31
NA,"Stone, Patrick Thomas",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1933-06-13","1963-01-13",NA,NA,"District",5
NA,"Sullivan, George F.",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1937-08-20","1944-04-14",NA,NA,"District",55
NA,"Sullivan, Philip Leo",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1933-11-08","1960-06-12",NA,NA,"District",10
NA,"Sweeney, George Clinton",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1935-08-24","1966-09-30","1966-11-05",NA,"District",31
NA,"Swinford, Mac",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1937-08-21","1975-02-03",NA,NA,"District",55
NA,"Swygert, Luther Merritt",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1943-10-16","1961-10-10",NA,NA,"District",129
NA,"Timmerman, Sr., George Bell",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1942-01-23","1962-10-10","1966-04-22",NA,"District",108
NA,"Trimble III, Thomas Clark",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1937-06-18","1957-01-14","1965-07-06",NA,"District",53
NA,"Underwood, Mell G.",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1936-02-12","1965-12-31","1972-03-08",NA,"District",37
NA,"Vogel, Charles Joseph",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1941-10-30","1954-08-20",NA,NA,"District",105
NA,"Walker, Thomas Glynn",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1939-12-20","1941-12-31",NA,NA,"District",83
NA,"Waller, Curtis L.",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1940-06-19","1943-03-12",NA,NA,"District",89
NA,"Waring, Julius Waties",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1942-01-23","1952-02-15","1968-01-11",NA,"District",108
NA,"Watkins, Harry Evans",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1937-03-03","1963-06-06",NA,NA,"District",50
NA,"Welsh, Martin Ignatius",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1939-07-14","1946-12-31","1953-01-04",NA,"District",78
NA,"Wilkin, Robert Nugen",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1939-06-03","1949-08-31","1973-02-23",NA,"District",77
NA,"Wyche, Charles Cecil",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1937-01-30","1966-09-17",NA,NA,"District",48
NA,"Wyzanski, Jr., Charles Edward",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1941-12-19","1971-09-01","1986-09-03",NA,"District",107
NA,"Yankwich, Leon Rene",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1935-08-24","1964-04-28","1975-02-09",NA,"District",31
1,"Viken, Jeffrey L.","2009-06-25","2009-09-29","99–0","Barack Obama","2009-01-01","2009-09-30","2018-02-23","4712-12-31","D.S.D.","District",8
2,"Lange, Roberto A.","2009-07-08","2009-10-21","100–0","Barack Obama","2009-01-01","2009-10-21","2018-02-23","4712-12-31","D.S.D.","District",9
3,"Berger, Irene C.","2009-07-08","2009-10-27","97–0","Barack Obama","2009-01-01","2009-11-09",NA,"4712-12-31","S.D.W.Va.","District",10
4,"Honeywell, Charlene","2009-06-25","2009-11-09","88–0","Barack Obama","2009-01-01","2009-11-12","2018-02-23","4712-12-31","M.D. Fla.","District",10
5,"Reiss, Christina","2009-10-13","2009-11-21","unanimous consent","Barack Obama","2009-01-01","2009-12-21","2018-02-23","4712-12-31","D. Vt.","District",11
6,"Kallon, Abdul K.","2009-07-31","2009-11-21","unanimous consent","Barack Obama","2009-01-01","2010-01-04","2018-02-23","4712-12-31","N.D. Ala.","District",12
7,"Nguyen, Jacqueline H.","2009-07-31","2009-12-01","97–0","Barack Obama","2009-01-01","2009-12-04","2012-05-14",NA,"C.D. Cal.","District",11
8,"Seeborg, Richard G.","2009-08-06","2009-12-24","unanimous consent","Barack Obama","2009-01-01","2010-01-04","2018-02-23","4712-12-31","N.D. Cal.","District",12
9,"Gee, Dolly M.","2009-08-06","2009-12-24","unanimous consent","Barack Obama","2009-01-01","2010-01-04","2018-02-23","4712-12-31","C.D. Cal.","District",12
10,"Peterson, Rosanna M.","2009-10-13","2010-01-25","89–0","Barack Obama","2009-01-01","2010-01-26","2018-02-23","4712-12-31","E.D. Wash.","District",12
11,"Conley, William M.","2009-10-29","2010-03-04","99–0","Barack Obama","2009-01-01","2010-03-25","2018-02-23","4712-12-31","W.D. Wis.","District",14
12,"Navarro, Gloria","2009-12-24","2010-05-05","98–0","Barack Obama","2009-01-01","2010-05-06","2018-02-23","4712-12-31","D. Nev.","District",16
13,"Freudenthal, Nancy D.","2009-12-03","2010-05-05","96–1","Barack Obama","2009-01-01","2010-05-06","2018-02-23","4712-12-31","D. Wyo.","District",16
14,"Marshall Jr., D. Price","2009-12-03","2010-05-05","voice vote","Barack Obama","2009-01-01","2010-05-06","2018-02-23","4712-12-31","E.D. Ark.","District",16
15,"Black, Timothy","2009-12-24","2010-05-11","voice vote","Barack Obama","2009-01-01","2010-05-13","2018-02-23","4712-12-31","S.D. Ohio","District",16
16,"DeGuilio, Jon","2010-01-20","2010-05-11","voice vote","Barack Obama","2009-01-01","2010-05-13","2018-02-23","4712-12-31","N.D. Ind.","District",16
17,"Fleissig, Audrey G.","2010-01-20","2010-06-07","90–0","Barack Obama","2009-01-01","2010-06-09","2018-02-23","4712-12-31","E.D. Mo.","District",17
18,"Koh, Lucy H.","2010-01-20","2010-06-07","90–0","Barack Obama","2009-01-01","2010-06-09","2018-02-23","4712-12-31","N.D. Cal.","District",17
19,"Magnus-Stinson, Jane","2010-01-20","2010-06-07","voice vote","Barack Obama","2009-01-01","2010-06-09","2018-02-23","4712-12-31","S.D. Ind.","District",17
20,"Pratt, Tanya Walton","2010-01-20","2010-06-15","95–0","Barack Obama","2009-01-01","2010-06-15","2018-02-23","4712-12-31","S.D. Ind.","District",17
21,"Jackson, Brian Anthony","2009-10-29","2010-06-15","96–0","Barack Obama","2009-01-01","2010-06-15","2018-02-23","4712-12-31","M.D. La.","District",17
22,"Foote, Elizabeth Erny","2010-02-04","2010-06-15","voice vote","Barack Obama","2009-01-01","2010-06-15","2018-02-23","4712-12-31","W.D. La.","District",17
23,"Goldsmith, Mark A.","2010-02-04","2010-06-21","89–0","Barack Obama","2009-01-01","2010-06-22","2018-02-23","4712-12-31","E.D. Mich.","District",17
24,"Treadwell, Marc Thomas","2010-02-04","2010-06-21","89–0","Barack Obama","2009-01-01","2010-06-22","2018-02-23","4712-12-31","M.D. Ga.","District",17
25,"Staton, Josephine L.","2010-02-04","2010-06-21","voice vote","Barack Obama","2009-01-01","2010-06-22","2018-02-23","4712-12-31","C.D. Cal.","District",17
26,"Feinerman, Gary","2010-02-24","2010-06-28","80–0","Barack Obama","2009-01-01","2010-06-29","2018-02-23","4712-12-31","N.D. Ill.","District",17
27,"Johnson Coleman, Sharon","2010-02-24","2010-07-12","86–0","Barack Obama","2009-01-01","2010-07-13","2018-02-23","4712-12-31","N.D. Ill.","District",18
28,"Childs, J. Michelle","2009-12-22","2010-08-05","unanimous consent","Barack Obama","2009-01-01","2010-08-20","2018-02-23","4712-12-31","D.S.C.","District",19
29,"Gergel, Richard Mark","2009-12-22","2010-08-05","unanimous consent","Barack Obama","2009-01-01","2010-08-09","2018-02-23","4712-12-31","D.S.C.","District",19
