"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
128,"Shelby, Robert J.",2011-11-30,2012-09-21,"voice vote","Barack Obama",2009-01-01,2012-09-25,2018-02-23,4712-12-31,"D. Utah","District",44
129,"Grimm, Paul W.",2012-02-16,2012-12-03,"92–1","Barack Obama",2009-01-01,2012-12-06,2018-02-23,4712-12-31,"D. Md.","District",47
130,"Shea, Michael P.",2012-02-02,2012-12-05,"72–23","Barack Obama",2009-01-01,2012-12-07,2018-02-23,4712-12-31,"D. Conn.","District",47
131,"Walker, Mark E.",2012-02-16,2012-12-06,"94–0","Barack Obama",2009-01-01,2012-12-07,2018-02-23,4712-12-31,"N.D. Fla.","District",47
132,"Berg, Terrence G.",2012-04-25,2012-12-06,"voice vote","Barack Obama",2009-01-01,2012-12-07,2018-02-23,4712-12-31,"E.D. Mich.","District",47
133,"Dowdell, John E.",2012-02-29,2012-12-11,"95–0","Barack Obama",2009-01-01,2012-12-12,2018-02-23,4712-12-31,"N.D. Okla.","District",47
134,"Bernal, Jesus G.",2012-04-25,2012-12-11,"voice vote","Barack Obama",2009-01-01,2012-12-12,2018-02-23,4712-12-31,"C.D. Cal.","District",47
135,"Schofield, Lorna G.",2012-04-25,2012-12-13,"91–0","Barack Obama",2009-01-01,2012-12-13,2018-02-23,4712-12-31,"S.D.N.Y.","District",47
136,"Geraci, Jr., Frank Paul",2012-05-14,2012-12-13,"voice vote","Barack Obama",2009-01-01,2013-01-02,2018-02-23,4712-12-31,"W.D.N.Y.","District",48
137,"Olguin, Fernando M.",2012-05-14,2012-12-17,"voice vote","Barack Obama",2009-01-01,2013-01-16,2018-02-23,4712-12-31,"C.D. Cal.","District",48
138,"Durkin, Thomas M.",2012-05-21,2012-12-17,"voice vote","Barack Obama",2009-01-01,2012-12-19,2018-02-23,4712-12-31,"N.D. Ill.","District",47
139,"Brann, Matthew W.",2012-05-17,2012-12-21,"unanimous consent","Barack Obama",2009-01-01,2012-12-27,2018-02-23,4712-12-31,"M.D. Pa.","District",47
140,"Mannion, Malachy E.",2012-05-17,2012-12-21,"unanimous consent","Barack Obama",2009-01-01,2012-12-27,2018-02-23,4712-12-31,"M.D. Pa.","District",47
